AREA_DEL_HECHO,LUGAR,DIA,HORA_INFRACCION,ARMA,EDAD,SEXO,ANTECEDENTES,DISTRITO,PRESUNTA_MOTIVACION
URBANO,VIA PUBLICA,MIERCOLES,H22,ARMA DE FUEGO,21,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H19,ARMA DE FUEGO,49,MUJER,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,VIERNES,H19,ARMA DE FUEGO,41,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H05,ARMA DE FUEGO,28,HOMBRE,SI,PORTETE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,SABADO,H21,ARMA DE FUEGO,27,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MARTES,H22,ARMA DE FUEGO,24,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MIERCOLES,H06,ARMA DE FUEGO,26,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H00,ARMA DE FUEGO,22,HOMBRE,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H23,ARMA DE FUEGO,20,HOMBRE,SI,FLORIDA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,JUEVES,H23,OTROS,45,MUJER,SI,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H02,ARMA DE FUEGO,20,HOMBRE,NO,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H18,ARMA DE FUEGO,42,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,LUNES,H20,ARMA DE FUEGO,32,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,JUEVES,H13,ARMA BLANCA,27,HOMBRE,NO,PROGRESO,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,SABADO,H02,ARMA DE FUEGO,19,MUJER,SI,PASCUALES,VIOLENCIA INTRAFAMILIAR
RURAL,VIA PUBLICA,DOMINGO,H00,ARMA DE FUEGO,39,HOMBRE,NO,SAMBORONDON,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,DOMINGO,H22,ARMA DE FUEGO,18,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H18,ARMA DE FUEGO,23,HOMBRE,SI,PASCUALES,VIOLENCIA COMUNITARIA
RURAL,VIA PUBLICA,VIERNES,H21,ARMA DE FUEGO,43,HOMBRE,NO,PASCUALES,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,VIERNES,H10,ARMA DE FUEGO,45,HOMBRE,SI,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H04,ARMA DE FUEGO,26,HOMBRE,NO,SUR,DELINCUENCIA COMUN
RURAL,LUGARES PRIVADOS,DOMINGO,H08,OTROS,14,HOMBRE,NO,DURAN,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MARTES,H17,ARMA DE FUEGO,17,HOMBRE,NO,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,JUEVES,H22,ARMA DE FUEGO,19,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
RURAL,VIA PUBLICA,VIERNES,H20,ARMA BLANCA,16,HOMBRE,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,SABADO,H19,ARMA DE FUEGO,60,HOMBRE,NO,PROGRESO,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,SABADO,H19,ARMA DE FUEGO,40,HOMBRE,NO,PROGRESO,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,LUNES,H05,ARMA DE FUEGO,24,MUJER,NO,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,JUEVES,H21,ARMA DE FUEGO,26,HOMBRE,NO,PASCUALES,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H22,ARMA DE FUEGO,41,HOMBRE,NO,NUEVA PROSPERINA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,JUEVES,H13,ARMA DE FUEGO,26,HOMBRE,SI,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,32,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MARTES,H21,ARMA DE FUEGO,55,HOMBRE,NO,PORTETE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H23,ARMA DE FUEGO,27,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,DOMINGO,H03,ARMA DE FUEGO,38,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H19,ARMA DE FUEGO,21,HOMBRE,NO,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H22,ARMA DE FUEGO,19,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MARTES,H23,ARMA DE FUEGO,59,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,LUNES,H12,ARMA BLANCA,28,HOMBRE,SI,PASCUALES,DELINCUENCIA COMUN
RURAL,LUGARES PRIVADOS,JUEVES,H22,ARMA DE FUEGO,44,HOMBRE,NO,PROGRESO,DELINCUENCIA COMUN
RURAL,VIA PUBLICA,SABADO,H13,ARMA DE FUEGO,25,HOMBRE,NO,SAMBORONDON,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H13,ARMA DE FUEGO,34,HOMBRE,NO,FLORIDA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MARTES,H23,CONSTRICTORA,46,HOMBRE,NO,FLORIDA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,VIERNES,H11,OTROS,43,HOMBRE,NO,9 DE OCTUBRE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MARTES,H21,ARMA DE FUEGO,54,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MIERCOLES,H09,ARMA CONTUNDENTE,36,MUJER,NO,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,JUEVES,H21,ARMA DE FUEGO,27,HOMBRE,NO,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,JUEVES,H21,ARMA DE FUEGO,37,HOMBRE,NO,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H14,ARMA DE FUEGO,30,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H10,ARMA DE FUEGO,25,HOMBRE,SI,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,JUEVES,H22,ARMA DE FUEGO,40,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,JUEVES,H22,ARMA DE FUEGO,29,HOMBRE,NO,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,VIERNES,H13,ARMA BLANCA,39,HOMBRE,SI,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA CONTUNDENTE,45,HOMBRE,NO,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,VIERNES,H10,ARMA BLANCA,50,HOMBRE,SI,9 DE OCTUBRE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,VIERNES,H17,ARMA BLANCA,41,HOMBRE,NO,DURAN,VIOLENCIA INTRAFAMILIAR
URBANO,VIA PUBLICA,DOMINGO,H22,ARMA DE FUEGO,27,HOMBRE,SI,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MARTES,H16,ARMA DE FUEGO,36,HOMBRE,SI,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H04,ARMA BLANCA,24,HOMBRE,NO,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H20,OTROS,65,HOMBRE,NO,FLORIDA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,LUNES,H14,ARMA DE FUEGO,32,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H15,ARMA DE FUEGO,39,HOMBRE,SI,9 DE OCTUBRE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H20,ARMA BLANCA,49,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,VIERNES,H00,ARMA DE FUEGO,34,HOMBRE,NO,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H21,ARMA DE FUEGO,20,HOMBRE,NO,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H03,ARMA CONTUNDENTE,19,HOMBRE,SI,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H11,ARMA DE FUEGO,39,HOMBRE,SI,SUR,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H01,ARMA DE FUEGO,22,HOMBRE,SI,FLORIDA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,JUEVES,H21,OTROS,7,MUJER,NO,PASCUALES,VIOLENCIA SEXUAL
URBANO,VIA PUBLICA,DOMINGO,H06,ARMA DE FUEGO,22,HOMBRE,NO,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,LUNES,H00,ARMA BLANCA,33,HOMBRE,SI,NUEVA PROSPERINA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H21,ARMA BLANCA,28,HOMBRE,SI,PORTETE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,DOMINGO,H21,ARMA DE FUEGO,16,HOMBRE,NO,MODELO,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,LUNES,H19,ARMA BLANCA,25,HOMBRE,SI,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MARTES,H20,ARMA DE FUEGO,23,HOMBRE,SI,ESTEROS,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H17,ARMA DE FUEGO,41,HOMBRE,NO,NUEVA PROSPERINA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H00,ARMA DE FUEGO,33,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
RURAL,LUGARES PRIVADOS,DOMINGO,H21,OTROS,50,HOMBRE,NO,DURAN,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MARTES,H17,ARMA DE FUEGO,37,HOMBRE,NO,ESTEROS,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,MIERCOLES,H12,ARMA DE FUEGO,17,HOMBRE,SI,PORTETE,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,JUEVES,H22,ARMA DE FUEGO,28,HOMBRE,NO,FLORIDA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,SABADO,H09,ARMA DE FUEGO,27,HOMBRE,SI,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H23,ARMA DE FUEGO,31,HOMBRE,NO,NUEVA PROSPERINA,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H21,ARMA DE FUEGO,20,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,MIERCOLES,H08,ARMA DE FUEGO,18,HOMBRE,NO,SUR,VIOLENCIA COMUNITARIA
URBANO,LUGARES PRIVADOS,MARTES,H04,ARMA BLANCA,28,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,JUEVES,H09,ARMA DE FUEGO,46,HOMBRE,SI,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H02,ARMA DE FUEGO,22,HOMBRE,NO,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,LUNES,H00,ARMA DE FUEGO,52,HOMBRE,NO,NUEVA PROSPERINA,VIOLENCIA INTRAFAMILIAR
URBANO,VIA PUBLICA,JUEVES,H11,ARMA DE FUEGO,38,HOMBRE,SI,MODELO,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MIERCOLES,H21,ARMA DE FUEGO,19,HOMBRE,NO,PASCUALES,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H10,ARMA DE FUEGO,28,HOMBRE,NO,NUEVA PROSPERINA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MIERCOLES,H12,ARMA DE FUEGO,34,HOMBRE,SI,9 DE OCTUBRE,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,DOMINGO,H03,ARMA BLANCA,47,HOMBRE,NO,PORTETE,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,SABADO,H20,ARMA DE FUEGO,42,HOMBRE,NO,DURAN,VIOLENCIA COMUNITARIA
URBANO,VIA PUBLICA,DOMINGO,H01,ARMA DE FUEGO,40,HOMBRE,SI,FLORIDA,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MIERCOLES,H21,ARMA DE FUEGO,55,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,LUGARES PRIVADOS,MIERCOLES,H21,ARMA DE FUEGO,24,HOMBRE,SI,SUR,DELINCUENCIA COMUN
URBANO,VIA PUBLICA,VIERNES,H05,ARMA BLANCA,29,HOMBRE,NO,NUEVA PROSPERINA,DELINCUENCIA COMUN
